Film,Year,Script Type,Rotten Tomatoes % critics,Metacritic % critics,Average critics %,Rotten Tomatoes Audience %,Metacritic Audience %,Rotten Tomatoes vs Metacritic % deviance,Average audience %,"Audience vs Critics deviance % ('-' = audiences prefer, + = critics prefer)",Genre,Opening Weekend ($),Opening weekend ($million),Domestic Gross ($),Domestic gross ($million),Foreign Gross ($million),Foreign Gross ($),Worldwide Gross ($),Worldwide Gross ($million),% of Gross earned abroad,Budget ($million),% of budget recovered,% Budget recovered opening weekend
21 Bridges,2019,original screenplay,50,51,51,91,62,29,77,-26,Thriller,"9,261,268",9,"20,676,747",20.7,2.7,"2,730,000","23,406,747",23.4,11.70%,33,71%,28.06%
47 Meters Down: Uncaged,2019,sequel,42,43,43,68,55,13,62,-19,Thriller,"8,427,265",8,"22,260,900",22.3,17.6,"17,649,616","39,910,516",39.9,44.20%,12,333%,70.23%
A Beautiful Day in the Neighbourhood,2019,original screenplay,95,80,88,91,71,20,81,7,Drama,"13,251,238",13,"37,144,754",37.1,0,0,"37,144,754",37.1,0.00%,25,149%,53.00%
A Dog's Way Home,2019,adaptation,62,50,56,73,51,22,62,-6,"Adventure, Drama, Family","11,251,263",11,"42,004,346",42,33.1,"33,054,369","75,058,715",75.1,44.00%,18,417%,62.51%
A Dog’s Journey,2019,adaptation,50,43,47,92,70,22,81,-35,Drama,"8,030,085",8,"22,546,590",22.5,49.2,"49,200,000","71,746,590",71.7,68.60%,22,326%,36.50%
A Hidden Life,2019,based on a true story,83,79,81,71,88,-17,80,2,"Biography, Drama, Romance","50,383",0,"1,015,637",1,1,"1,015,637","2,031,274",2,50.00%,8,25%,0.63%
Abominable,2019,original screenplay,80,61,71,95,57,38,76,-6,Adventure,"20,612,100",21,"60,196,485",60.2,116,"116,000,000","176,196,485",176.2,65.80%,75,235%,27.48%
Ad Astra,2019,original screenplay,84,80,82,40,62,-22,51,31,"Thriller, Sci-Fi","19,001,398",19,"50,175,123",50.2,77,"76,987,552","127,162,675",127.2,60.50%,90,141%,21.11%
Aladdin,2019,remake,57,53,55,94,67,27,81,-26,Adventure,"91,500,929",92,"355,559,216",355.6,695.1,"695,134,737","1,050,693,953",1050.7,66.20%,183,574%,50.00%
Alita: Battle Angel,2019,adaptation,60,54,57,94,88,6,91,-34,"Action, Adventure, Romance","28,525,613",29,"85,316,378",85.3,316.4,"316,393,320","401,709,698",401.7,78.80%,170,236%,16.78%
Angel Has Fallen,2019,sequel,39,45,42,93,66,27,80,-38,Thriller,"21,380,987",21,"69,030,436",69,64.3,"64,335,016","133,365,452",133.4,48.20%,40,333%,53.45%
Anna,2019,original screenplay,36,40,38,81,64,17,73,-35,Action,"3,600,647",4,"7,743,794",7.7,23.2,"23,174,932","30,918,726",30.9,75.00%,30,103%,12.00%
Annabelle Comes Home,2019,sequel,64,53,59,70,62,8,66,-8,Horror,"20,269,723",20,"74,152,591",74.2,154.4,"154,400,000","228,552,591",228.6,67.60%,30,762%,67.57%
Arctic,2019,original screenplay,89,71,80,87,63,24,75,5,"Adventure, Drama","50,878",0,"2,336,565",2.3,0,0,"2,336,565",2.3,0.00%,2,117%,2.54%
Arctic Dogs,2019,original screenplay,14,28,21,60,21,39,41,-20,Adventure,"2,901,335",3,"5,667,265",5.7,1,"956,170","6,623,435",6.6,14.40%,50,13%,5.80%
Avengers: Endgame,2019,adaptation,94,78,86,90,78,12,84,2,Action,"357,115,007",357,"858,373,000",858.4,1939.4,"1,939,427,564","2,797,800,564",2797.8,69.30%,356,786%,100.31%
Badla,2019,adaptation,54,-,-,72,70,2,71,-,"Drama, Mystery, Thriller, Crime","596,446",1,"1,861,000",1.9,118.4,"118,366,848","120,227,848",120.2,98.50%,1,8588%,42.60%
